role,rank,ide,developer_count
Back-end Developer,1,Visual Studio Code,3575
Back-end Developer,2,Visual Studio,2311
Back-end Developer,3,Notepad++,2027
Data Scientist / ML,1,IPython / Jupyter,390
Data Scientist / ML,2,Visual Studio Code,373
Data Scientist / ML,3,PyCharm,273
Data/BI Analyst,1,Visual Studio Code,408
Data/BI Analyst,2,Notepad++,350
Data/BI Analyst,3,Visual Studio,346
DevOps Specialist,1,Visual Studio Code,996
DevOps Specialist,2,Vim,649
DevOps Specialist,3,Visual Studio,540
Front-end Developer,1,Visual Studio Code,2634
Front-end Developer,2,Visual Studio,1476
Front-end Developer,3,Notepad++,1265
