rank,skill,category,repo_count,source
1,JavaScript,programming_language,44560807,GitHub
2,Python,programming_language,30283057,GitHub
3,Java,programming_language,21081211,GitHub
4,TypeScript,programming_language,16294525,GitHub
5,C#,programming_language,7425528,GitHub
6,C++,programming_language,6834667,GitHub
7,PHP,programming_language,6211741,GitHub
8,Ruby,programming_language,2959463,GitHub
9,Go,programming_language,2365867,GitHub
10,Kotlin,programming_language,2188049,GitHub
11,Dart,programming_language,1982519,GitHub
12,Swift,programming_language,1624081,GitHub
13,Rust,programming_language,1215085,GitHub
14,R,programming_language,1096441,GitHub
15,Lua,programming_language,684634,GitHub
16,Objective-C,programming_language,543064,GitHub
17,React,web_framework,472027,GitHub
18,Scala,programming_language,259249,GitHub
19,Perl,programming_language,187912,GitHub
20,Docker,cloud_devops,187289,GitHub
21,Haskell,programming_language,162922,GitHub
22,Next.js,web_framework,157471,GitHub
23,Android,mobile,139199,GitHub
24,MongoDB,database,137926,GitHub
25,Elixir,programming_language,129438,GitHub
26,Groovy,programming_language,109686,GitHub
27,MySQL,database,96567,GitHub
28,Express,web_framework,96553,GitHub
29,Clojure,programming_language,96395,GitHub
30,PostgreSQL,database,93469,GitHub
31,Julia,programming_language,91843,GitHub
32,Django,web_framework,76776,GitHub
33,Flutter,mobile,74070,GitHub
34,Flask,web_framework,68422,GitHub
35,Firebase,database,67526,GitHub
36,Angular,web_framework,64489,GitHub
37,AWS,cloud_devops,59007,GitHub
38,React Native,mobile,57813,GitHub
39,Laravel,web_framework,57463,GitHub
40,FastAPI,web_framework,57160,GitHub
41,iOS,mobile,55573,GitHub
42,Pandas,data_ml,54183,GitHub
43,PyTorch,data_ml,51595,GitHub
44,Kubernetes,cloud_devops,46428,GitHub
45,TensorFlow,data_ml,41862,GitHub
46,Vue.js,web_framework,37384,GitHub
47,Redis,database,35541,GitHub
48,Terraform,cloud_devops,33810,GitHub
49,SQLite,database,32726,GitHub
50,Spring,web_framework,29346,GitHub
51,scikit-learn,data_ml,24028,GitHub
52,Ansible,cloud_devops,23442,GitHub
53,NestJS,web_framework,21237,GitHub
54,Kafka,data_ml,17225,GitHub
55,Svelte,web_framework,15371,GitHub
56,Vim,ide_tool,13228,GitHub
57,Neovim,ide_tool,12622,GitHub
58,Prometheus,cloud_devops,11514,GitHub
59,Ruby on Rails,web_framework,10719,GitHub
60,Elasticsearch,database,10572,GitHub
61,Spark,data_ml,9720,GitHub
62,Grafana,cloud_devops,9585,GitHub
63,Jenkins,cloud_devops,8576,GitHub
64,Helm,cloud_devops,7228,GitHub
65,Emacs,ide_tool,6730,GitHub
66,Oracle,database,5349,GitHub
67,MariaDB,database,5119,GitHub
68,DynamoDB,database,4793,GitHub
69,Visual Studio Code,ide_tool,4702,GitHub
70,Airflow,data_ml,4470,GitHub
71,Neo4j,database,4113,GitHub
72,GitLab,cloud_devops,3966,GitHub
73,dbt,data_ml,3164,GitHub
74,Cassandra,database,2246,GitHub
75,ASP.NET,web_framework,1180,GitHub
76,CouchDB,database,825,GitHub
