collected_date,skill,category,repo_count,sample_size,source
2026-06-16,Python,programming_language,30283057,100,GitHub
2026-06-16,JavaScript,programming_language,44560807,100,GitHub
2026-06-16,TypeScript,programming_language,16294525,100,GitHub
2026-06-16,Java,programming_language,21081211,100,GitHub
2026-06-16,C#,programming_language,7425528,100,GitHub
2026-06-16,Go,programming_language,2365867,100,GitHub
2026-06-16,Rust,programming_language,1215085,100,GitHub
2026-06-16,Kotlin,programming_language,2188049,100,GitHub
2026-06-16,PHP,programming_language,6211741,100,GitHub
2026-06-16,Ruby,programming_language,2959463,100,GitHub
2026-06-16,Swift,programming_language,1624081,100,GitHub
2026-06-16,C++,programming_language,6834667,100,GitHub
2026-06-16,Scala,programming_language,259249,100,GitHub
2026-06-16,Dart,programming_language,1982519,100,GitHub
2026-06-16,Elixir,programming_language,129438,100,GitHub
2026-06-16,Perl,programming_language,187912,100,GitHub
2026-06-16,R,programming_language,1096441,100,GitHub
2026-06-16,Lua,programming_language,684634,100,GitHub
2026-06-16,Haskell,programming_language,162922,100,GitHub
2026-06-16,Clojure,programming_language,96395,100,GitHub
2026-06-16,Julia,programming_language,91843,100,GitHub
2026-06-16,Objective-C,programming_language,543064,100,GitHub
2026-06-16,Groovy,programming_language,109686,100,GitHub
2026-06-16,PostgreSQL,database,93469,100,GitHub
2026-06-16,MySQL,database,96567,100,GitHub
2026-06-16,MongoDB,database,137926,100,GitHub
2026-06-16,Redis,database,35541,100,GitHub
2026-06-16,Elasticsearch,database,10572,100,GitHub
2026-06-16,SQLite,database,32726,100,GitHub
2026-06-16,Cassandra,database,2246,100,GitHub
2026-06-16,MariaDB,database,5119,100,GitHub
2026-06-16,DynamoDB,database,4793,100,GitHub
2026-06-16,Neo4j,database,4113,100,GitHub
2026-06-16,CouchDB,database,825,100,GitHub
2026-06-16,Firebase,database,67526,100,GitHub
2026-06-16,Oracle,database,5349,100,GitHub
2026-06-16,React,web_framework,472027,100,GitHub
2026-06-16,Vue.js,web_framework,37384,100,GitHub
2026-06-16,Angular,web_framework,64489,100,GitHub
2026-06-16,Django,web_framework,76776,100,GitHub
2026-06-16,Spring,web_framework,29346,100,GitHub
2026-06-16,Express,web_framework,96553,100,GitHub
2026-06-16,Next.js,web_framework,157471,100,GitHub
2026-06-16,FastAPI,web_framework,57160,100,GitHub
2026-06-16,Flask,web_framework,68422,100,GitHub
2026-06-16,Laravel,web_framework,57463,100,GitHub
2026-06-16,Svelte,web_framework,15371,100,GitHub
2026-06-16,NestJS,web_framework,21237,100,GitHub
2026-06-16,Ruby on Rails,web_framework,10719,100,GitHub
2026-06-16,ASP.NET,web_framework,1180,100,GitHub
2026-06-16,Docker,cloud_devops,187289,100,GitHub
2026-06-16,Kubernetes,cloud_devops,46428,100,GitHub
2026-06-16,Terraform,cloud_devops,33810,100,GitHub
2026-06-16,AWS,cloud_devops,59007,100,GitHub
2026-06-16,Ansible,cloud_devops,23442,100,GitHub
2026-06-16,Jenkins,cloud_devops,8576,100,GitHub
2026-06-16,GitLab,cloud_devops,3966,100,GitHub
2026-06-16,Prometheus,cloud_devops,11514,100,GitHub
2026-06-16,Grafana,cloud_devops,9585,100,GitHub
2026-06-16,Helm,cloud_devops,7228,100,GitHub
2026-06-16,TensorFlow,data_ml,41862,100,GitHub
2026-06-16,PyTorch,data_ml,51595,100,GitHub
2026-06-16,Pandas,data_ml,54183,100,GitHub
2026-06-16,scikit-learn,data_ml,24028,100,GitHub
2026-06-16,Spark,data_ml,9720,100,GitHub
2026-06-16,Airflow,data_ml,4470,100,GitHub
2026-06-16,dbt,data_ml,3164,100,GitHub
2026-06-16,Kafka,data_ml,17225,100,GitHub
2026-06-16,Visual Studio Code,ide_tool,4702,100,GitHub
2026-06-16,Vim,ide_tool,13228,100,GitHub
2026-06-16,Neovim,ide_tool,12622,100,GitHub
2026-06-16,Emacs,ide_tool,6730,100,GitHub
2026-06-16,Flutter,mobile,74070,100,GitHub
2026-06-16,React Native,mobile,57813,100,GitHub
2026-06-16,Android,mobile,139199,100,GitHub
2026-06-16,iOS,mobile,55573,100,GitHub
