database,worked,desired_next_year,net_change,growth_pct,desired_market_pct,signal
PostgreSQL,14529,11863,-2666,-18.3,24.1,Stable
SQLite,9798,7185,-2613,-26.7,14.6,Declining
Redis,7316,6014,-1302,-17.8,12.2,Stable
MySQL,10581,5120,-5461,-51.6,10.4,Declining
MongoDB,6267,4421,-1846,-29.5,9.0,Declining
Microsoft SQL Server,7871,3851,-4020,-51.1,7.8,Declining
Elasticsearch,4347,3288,-1059,-24.4,6.7,Declining
MariaDB,5862,3239,-2623,-44.7,6.6,Declining
Dynamodb,2551,1741,-810,-31.8,3.5,Declining
Supabase,1558,1621,63,4.0,3.3,Stable
DuckDB,863,1436,573,66.4,2.9,Emerging
BigQuery,1705,1371,-334,-19.6,2.8,Stable
Oracle,2761,1259,-1502,-54.4,2.6,Declining
Valkey,632,1240,608,96.2,2.5,Emerging
Cassandra,766,1214,448,58.5,2.5,Emerging
Snowflake,1079,1068,-11,-1.0,2.2,Stable
Firebase Realtime Database,1299,1010,-289,-22.2,2.1,Declining
Cosmos DB,1190,988,-202,-17.0,2.0,Stable
Cloud Firestore,1494,980,-514,-34.4,2.0,Declining
Neo4J,691,972,281,40.7,2.0,Emerging
Databricks SQL,895,874,-21,-2.3,1.8,Stable
Clickhouse,627,844,217,34.6,1.7,Emerging
InfluxDB,963,721,-242,-25.1,1.5,Declining
Amazon Redshift,611,685,74,12.1,1.4,Stable
Cockroachdb,262,632,370,141.2,1.3,Emerging
H2,1303,620,-683,-52.4,1.3,Declining
Pocketbase,262,407,145,55.3,0.8,Emerging
Microsoft Access,1244,363,-881,-70.8,0.7,Declining
IBM DB2,615,330,-285,-46.3,0.7,Declining
Datomic,148,272,124,83.8,0.6,Emerging
